,ADANI ENTERPRISES,ADANI PORTS & SEZ,APOLLO HOSPITALS,ASIAN PAINTS,AXIS BANK,BAJAJ AUTO,BAJAJ FINANCE,BAJAJ FINSERV,BHARAT ELECTRONICS,BHARTI AIRTEL,BPCL,BRITANNIA,CIPLA,COAL INDIA,DR. REDDYS LAB,EICHER MOTORS,GRASIM,HCL TECHNOLOGIES,HDFC BANK,HDFC LIFE INSURANCE,HERO MOTOCORP,HINDALCO,HINDUSTAN UNILEVER,ICICI BANK,INDUSIND BANK,INFOSYS,ITC,JSW STEEL,KOTAK MAHINDRA BANK,L&T,M&M,MARUTI SUZUKI,NESTLE,NTPC,ONGC,POWER GRID,RELIANCE IND.,SBI,SBI LIFE INSURANCE,SHRIRAM FINANCE,SUN PHARMA,TATA CONSUMER,TATA MOTORS,TATA STEEL,TCS,TECH MAHINDRA,TITAN,TRENT,ULTRATECH CEMENT,WIPRO
214,2937.85,1430.6,6900.25,3367.45,1186.1,11420.75,7345.55,1833.15,288.05,1577.8,340.25,6008.65,1628.35,483.95,1322.5,4726.65,2681.15,1778.75,1643.9,700.15,5654.45,647.7,2904.15,1236.35,1421.2,1910.15,514.35,927.75,1789.25,3536.95,2654.25,12242.6,2526.85,389.65,285.3,333.2,1451.5,768.6,1859.15,3279.9,1845.7,1204.4,976.3,148.17,4479.35,1602.6,3711.1,7148.85,11487.45,514.35
215,2991.0,1472.6,7061.8,3383.25,1203.35,11723.5,7428.3,1854.85,291.7,1646.75,344.3,6109.25,1657.25,495.65,1336.77,4875.0,2757.1,1807.6,1666.6,714.55,5803.15,676.2,2956.4,1252.15,1443.35,1950.45,519.5,954.8,1827.45,3622.0,2740.9,12400.85,2527.85,404.85,294.05,338.2,1479.8,787.75,1875.95,3400.75,1865.4,1222.75,986.15,151.74,4517.7,1643.25,3764.25,7210.5,11710.25,530.05
216,2968.35,1452.1,7019.15,3358.05,1217.45,11737.15,7598.5,1894.45,289.95,1634.45,342.3,6133.1,1659.7,490.25,1332.14,4858.3,2784.35,1812.8,1665.95,705.4,5795.8,673.25,2932.95,1250.35,1464.05,1944.1,513.85,954.55,1820.35,3613.0,2739.1,12316.05,2531.4,401.4,291.45,337.25,1472.63,790.85,1846.5,3368.25,1853.75,1210.3,992.1,153.49,4522.6,1656.05,3767.0,7233.15,11717.95,550.6
217,2984.9,1440.7,7031.35,3335.8,1231.05,11688.35,7345.75,1857.6,290.4,1635.45,340.65,6063.0,1659.4,493.25,1329.42,4899.2,2765.3,1811.85,1670.95,701.35,5779.45,685.15,2867.1,1262.85,1470.2,1950.25,511.1,971.0,1831.3,3662.25,2757.4,12289.0,2549.6,411.1,292.5,338.25,1471.35,785.55,1821.25,3418.95,1862.95,1218.5,988.4,154.21,4513.25,1649.0,3740.65,7318.8,11642.65,551.9
218,2975.2,1426.6,7008.05,3312.8,1232.1,11950.3,7365.5,1848.7,284.3,1661.75,338.4,6111.05,1671.8,488.5,1326.33,4850.2,2754.85,1813.75,1668.8,698.9,5961.2,683.0,2873.5,1268.1,1466.35,1952.55,507.75,964.25,1846.65,3695.2,2787.65,12245.75,2546.85,416.3,294.65,336.9,1472.3,782.9,1819.15,3424.6,1866.1,1220.25,974.95,152.82,4505.65,1651.55,3767.4,7403.45,11645.65,551.9
219,2956.3,1428.8,7035.9,3274.65,1240.45,11764.65,7631.1,1888.2,282.85,1654.9,336.1,6123.25,1651.6,487.1,1313.56,4850.35,2722.7,1756.5,1694.8,698.8,5964.75,685.25,2875.85,1288.35,1480.25,1892.15,507.35,956.7,1839.7,3730.45,2808.2,12204.1,2597.15,414.15,290.4,334.3,1463.45,792.75,1842.45,3574.7,1836.0,1200.85,962.05,150.6,4346.15,1605.4,3725.35,7336.0,11630.9,538.15
220,2943.15,1408.2,7030.25,3293.85,1242.7,11868.0,7590.35,1890.4,272.7,1664.85,324.45,6134.5,1637.7,477.95,1300.51,4864.9,2738.95,1736.5,1708.5,701.5,6006.05,684.2,2911.75,1292.0,1484.75,1894.2,508.25,948.4,1871.95,3683.7,2797.5,12351.5,2634.2,423.95,285.25,334.9,1469.68,789.95,1840.95,3525.35,1846.05,1215.25,967.0,149.54,4296.15,1595.35,3780.95,7326.15,11627.5,533.35
221,3008.5,1438.7,7082.65,3306.95,1245.0,11941.7,7582.45,1916.8,277.35,1711.75,331.2,6210.55,1638.65,490.95,1310.23,4963.15,2678.25,1760.05,1741.2,711.1,6013.25,694.4,2977.6,1338.45,1480.2,1905.75,514.4,981.55,1904.5,3793.9,2950.85,12614.5,2699.55,423.95,286.25,340.85,1485.93,781.7,1870.25,3532.1,1865.75,1216.85,970.85,152.02,4284.9,1622.05,3797.2,7465.15,11798.3,539.1
222,3043.95,1456.15,7152.8,3277.45,1246.8,12338.95,7595.1,1919.95,286.3,1750.45,338.1,6211.2,1658.15,500.6,1330.89,4879.55,2666.9,1752.8,1759.8,727.5,6190.55,690.55,3028.55,1321.9,1465.1,1896.45,516.95,982.1,1934.7,3787.7,3049.8,12683.1,2725.15,428.35,295.45,341.15,1493.38,801.85,1920.15,3567.7,1862.7,1211.55,971.8,153.99,4268.5,1607.15,3820.1,7623.45,11962.05,534.9
223,3093.9,1456.65,7122.0,3248.4,1239.55,12443.65,7554.2,1904.65,291.8,1756.65,339.15,6203.15,1637.55,504.3,1330.07,4876.9,2619.3,1775.6,1768.05,720.7,6126.3,717.85,2950.55,1318.6,1448.3,1898.6,515.25,989.7,1914.7,3791.6,3074.3,12738.6,2696.4,428.1,299.45,350.05,1489.38,798.25,1864.35,3516.3,1868.1,1211.65,977.3,160.53,4271.3,1637.1,3784.9,7621.35,11761.65,539.55
224,3105.1,1452.55,7133.45,3244.75,1268.1,12397.25,7623.9,1928.5,289.85,1760.4,339.8,6180.3,1643.2,505.3,1338.29,4895.25,2662.0,1782.4,1779.1,716.55,6088.3,718.45,2948.95,1323.85,1439.5,1895.3,517.55,982.65,1897.95,3793.85,3091.05,12785.3,2697.35,436.1,298.7,363.75,1493.95,793.1,1863.6,3524.05,1870.55,1189.6,963.6,161.66,4274.75,1602.75,3737.25,7614.9,11816.3,536.2
225,3122.65,1472.6,7167.85,3277.05,1277.1,12621.65,7768.4,1982.8,290.5,1771.1,345.1,6254.1,1621.8,506.55,1348.88,4994.25,2745.85,1783.85,1783.45,729.55,6051.45,734.65,2986.1,1329.05,1452.7,1900.25,522.75,1005.55,1902.3,3762.15,3181.1,13383.8,2755.5,434.6,295.2,365.45,1497.95,801.85,1898.3,3628.45,1898.4,1213.45,993.15,165.61,4292.5,1606.95,3757.55,7845.4,12065.0,541.9
226,3130.3,1456.7,7234.0,3310.75,1273.15,12666.4,7756.0,2010.7,293.45,1734.6,367.3,6268.8,1672.5,516.1,1349.98,5062.6,2783.15,1808.4,1752.65,730.2,5957.35,747.15,2966.25,1306.6,1462.7,1906.75,522.7,1001.55,1872.45,3705.65,3183.65,13495.6,2745.7,436.9,297.2,354.25,1526.18,802.65,1882.65,3621.05,1948.7,1201.55,993.0,166.55,4308.7,1609.25,3816.7,7833.7,11952.3,541.8
227,3135.85,1448.2,7199.15,3329.1,1232.2,12345.95,7703.0,1973.4,285.1,1709.55,369.95,6338.15,1654.1,510.15,1350.32,5026.25,2795.55,1796.1,1732.05,718.0,5712.4,756.2,2958.3,1273.0,1447.6,1875.6,518.15,1030.05,1853.95,3675.55,3094.9,13238.0,2689.95,443.2,297.6,352.85,1476.58,787.9,1844.0,3576.95,1926.7,1196.95,974.65,168.55,4268.5,1577.2,3823.95,7574.65,11802.0,541.45
228,3186.1,1467.5,7153.35,3277.35,1226.65,12157.45,7703.0,1975.25,283.95,1698.7,368.25,6446.05,1664.85,508.5,1349.82,4972.65,2801.15,1816.5,1726.2,710.2,5750.1,761.55,2923.75,1274.4,1409.7,1904.35,516.2,1027.3,1879.4,3653.5,3165.5,13166.0,2707.05,440.1,291.95,350.8,1464.83,796.95,1834.2,3570.4,1919.95,1196.25,965.2,167.03,4287.9,1625.4,3775.95,7612.7,11837.15,546.75
229,3116.0,1425.2,6905.95,3149.3,1175.7,11806.45,7433.85,1913.4,278.7,1673.45,348.85,6331.75,1656.55,502.35,1347.13,4782.5,2766.15,1778.55,1682.0,702.25,5662.75,747.1,2893.35,1256.35,1387.75,1893.4,512.75,1039.1,1822.8,3497.65,3129.85,12647.35,2674.85,435.35,292.05,344.15,1406.98,794.1,1805.55,3409.5,1910.85,1152.75,925.7,166.98,4232.75,1604.05,3674.95,7487.9,11724.8,530.15
230,3110.65,1413.7,6773.6,3072.5,1178.4,11774.4,7211.35,1884.55,277.2,1640.9,340.25,6206.0,1623.3,497.2,1326.65,4706.8,2745.1,1776.6,1657.65,708.8,5520.85,747.9,2848.75,1239.75,1382.85,1918.15,503.55,1033.75,1809.0,3493.95,3017.45,12605.75,2598.15,430.45,295.25,338.85,1386.53,796.65,1798.1,3336.3,1910.05,1130.4,930.75,166.75,4252.25,1616.45,3670.1,7353.3,11450.25,533.55
231,3018.0,1355.2,6773.15,3062.25,1145.7,11617.05,7269.4,1879.3,267.35,1662.05,335.0,6120.3,1624.65,480.45,1321.98,4667.95,2720.5,1776.95,1617.8,705.85,5501.55,731.3,2833.4,1233.9,1350.85,1934.3,510.2,1018.75,1790.25,3468.35,3060.2,12527.5,2573.85,415.45,289.45,328.95,1370.73,770.65,1787.95,3299.35,1905.25,1111.4,927.85,164.36,4272.85,1618.55,3589.25,7449.5,11230.35,531.45
232,3160.7,1418.55,6924.3,3088.05,1153.3,11889.1,7186.95,1838.15,280.25,1657.45,338.0,6204.4,1640.7,491.85,1331.21,4693.45,2738.2,1789.45,1651.05,710.1,5529.85,721.8,2818.8,1236.6,1359.55,1948.55,507.95,998.2,1803.4,3532.4,3165.85,12531.95,2581.75,420.95,293.45,327.15,1397.35,781.45,1728.05,3329.3,1917.15,1119.05,919.8,159.52,4253.25,1629.1,3493.35,8041.95,11389.8,526.95
233,3153.75,1408.15,7008.9,3078.85,1170.15,11818.1,7300.45,1866.95,282.4,1678.1,338.85,6097.25,1680.5,486.95,1332.97,4708.9,2715.75,1809.7,1633.15,717.3,5554.6,727.55,2768.95,1244.15,1341.55,1952.75,491.7,994.5,1800.8,3487.1,3153.0,12760.7,2516.0,418.45,288.5,329.75,1374.6,797.4,1737.4,3387.95,1930.85,1117.8,939.15,159.06,4252.95,1658.8,3493.45,8220.85,11350.15,531.15
234,3174.2,1417.2,6955.05,3059.1,1184.25,11832.0,7319.7,1875.7,286.9,1678.1,335.45,6002.15,1618.9,488.1,1316.62,4697.9,2722.45,1808.65,1662.4,723.65,5456.1,730.15,2754.7,1243.5,1356.4,1919.0,492.05,1007.4,1876.1,3460.35,3194.3,12944.1,2512.45,422.7,288.75,334.35,1371.05,797.1,1734.5,3337.65,1887.75,1114.15,928.5,159.72,4227.4,1619.7,3447.25,8028.85,11430.05,525.0
235,3137.2,1408.25,6983.4,3037.2,1172.45,11876.95,7302.0,1876.4,285.9,1687.4,337.65,5978.5,1595.75,492.95,1319.84,4728.05,2725.55,1839.65,1651.0,723.85,5476.3,747.35,2783.2,1223.0,1347.6,1935.1,488.2,1012.05,1882.4,3482.55,3134.35,12776.65,2511.8,422.5,292.55,330.05,1372.1,799.75,1735.05,3341.2,1901.95,1113.1,930.7,160.66,4149.2,1647.05,3474.4,8234.95,11421.3,528.3
236,3101.1,1410.3,7092.6,3039.15,1164.35,11899.3,7208.8,1867.2,285.7,1695.6,340.75,5978.05,1598.45,498.3,1331.98,4779.8,2726.9,1855.9,1688.1,740.6,5555.35,743.0,2789.1,1231.75,1370.45,1958.9,496.95,1012.5,1910.8,3555.05,3154.9,12537.85,2502.05,424.5,286.5,330.7,1372.53,805.15,1738.3,3395.3,1909.75,1113.55,928.25,158.32,4136.65,1692.5,3497.8,8191.85,11300.3,549.55
237,3104.7,1420.3,7140.15,3067.1,1153.85,11521.5,7016.9,1853.95,288.85,1717.25,348.75,6068.7,1571.75,494.45,1322.33,4722.1,2735.8,1870.1,1684.1,714.25,5505.65,726.95,2781.45,1255.5,1360.9,1959.3,498.55,1000.85,1895.2,3551.9,3155.8,12446.75,2484.25,426.6,283.7,329.85,1344.03,804.65,1723.75,3401.15,1898.45,1115.25,917.3,155.63,4116.8,1675.35,3508.5,8124.25,11416.9,532.95
238,3085.9,1403.8,7071.3,3082.1,1153.2,11616.95,6956.35,1862.05,285.7,1733.95,350.75,6090.1,1562.2,495.75,1342.18,4678.25,2764.1,1865.25,1699.8,726.8,5398.2,733.1,2781.25,1243.15,1346.3,1920.1,493.2,989.35,1876.35,3532.6,3068.0,12383.9,2462.25,424.25,285.4,327.2,1354.08,805.45,1733.75,3390.4,1898.5,1113.95,907.45,155.24,4094.95,1660.3,3471.0,7805.8,11322.3,532.15
239,3013.75,1394.7,6989.3,3055.85,1131.85,10119.45,6899.5,1815.8,284.55,1701.15,342.7,5988.5,1558.7,489.9,1340.81,4623.85,2705.85,1867.8,1673.15,726.1,5217.45,734.8,2738.65,1231.25,1347.35,1968.1,488.9,979.5,1864.05,3570.3,2964.6,12143.75,2378.7,417.75,281.6,331.15,1356.43,811.05,1702.0,3258.6,1889.55,1090.15,891.6,152.4,4109.0,1699.0,3403.35,7719.65,11017.3,528.75
240,3002.0,1405.6,6982.9,2992.15,1196.85,10063.95,6899.55,1819.9,287.15,1707.85,342.5,5887.2,1551.7,492.2,1348.22,4765.65,2760.95,1857.7,1681.85,742.45,5216.2,753.5,2717.1,1264.5,1347.25,1879.6,486.7,992.6,1871.05,3577.8,2964.25,12105.1,2350.25,424.95,283.3,332.05,1359.3,820.4,1706.05,3344.65,1910.35,1093.25,910.15,155.39,4123.05,1687.9,3381.45,7768.05,11069.3,548.65
241,2937.65,1375.5,6986.4,3049.2,1190.3,10500.5,6780.9,1758.4,282.3,1692.55,331.65,5778.3,1523.75,485.4,1339.48,4810.45,2718.25,1843.6,1728.7,745.85,5242.25,739.6,2693.55,1259.05,1308.25,1852.75,483.65,981.45,1789.2,3585.6,2998.2,12175.9,2354.65,425.0,276.6,331.15,1369.2,813.95,1711.85,3313.3,1897.0,1017.05,903.3,155.03,4079.85,1701.2,3363.25,7606.55,10869.3,548.1
242,2823.8,1362.85,6891.95,3006.85,1175.75,10368.35,6677.9,1722.6,271.65,1692.25,322.9,5727.0,1510.35,468.35,1332.48,4759.05,2655.35,1822.75,1714.55,728.2,5175.8,720.25,2681.7,1267.5,1274.35,1851.6,481.8,963.65,1763.15,3511.9,2887.2,11923.3,2350.25,415.75,270.8,322.75,1343.35,790.4,1698.15,3254.5,1887.55,998.25,879.5,150.39,4015.5,1696.55,3329.8,7497.35,10825.15,545.45
243,2835.55,1340.45,6906.75,2989.7,1160.4,10586.75,6995.8,1739.7,268.65,1685.8,323.05,5748.85,1485.6,474.1,1321.58,4677.75,2633.2,1845.75,1735.8,723.75,5145.7,717.1,2659.3,1251.6,1274.3,1873.4,480.35,954.45,1767.8,3455.4,2793.5,11956.2,2327.15,408.3,270.85,316.9,1338.53,786.0,1716.0,3197.75,1839.35,1014.55,877.65,148.78,4066.25,1735.95,3288.6,7511.3,10753.05,547.2
244,2830.2,1354.4,6954.15,2972.0,1167.35,10302.5,7040.9,1742.1,271.35,1678.45,321.45,5612.4,1492.3,477.25,1316.54,4668.5,2666.7,1844.9,1749.65,714.85,5113.6,690.7,2505.1,1252.75,1280.05,1863.35,471.7,958.1,1762.2,3442.65,2826.35,11763.7,2258.65,411.9,269.1,319.15,1339.8,794.55,1635.3,3245.1,1848.9,996.45,880.0,148.98,4047.9,1735.75,3330.9,7488.0,11043.6,546.9
245,2693.45,1318.7,6944.85,2958.0,1189.35,10206.1,6910.15,1707.4,272.35,1666.0,306.3,5669.4,1488.9,461.1,1302.94,4591.6,2615.2,1852.35,1743.4,709.45,4973.3,678.75,2528.05,1255.45,1041.6,1862.05,482.3,943.85,1768.85,3326.4,2720.85,11502.85,2260.7,398.9,264.05,315.8,1327.85,780.95,1616.75,3092.65,1860.4,973.05,864.3,145.86,4057.55,1716.45,3266.55,7361.45,10995.2,543.45
246,2798.65,1352.2,6926.3,3001.85,1171.6,10011.25,6911.35,1730.45,270.05,1663.35,310.4,5722.3,1503.15,441.65,1311.5,4720.65,2646.95,1871.75,1734.2,718.25,4927.8,692.9,2575.8,1292.85,1054.8,1865.35,484.15,967.25,1749.85,3340.8,2781.0,11483.25,2272.05,403.9,263.35,318.3,1334.35,792.05,1605.9,3259.3,1902.9,975.9,878.45,149.38,4090.85,1702.55,3283.05,7307.85,11092.6,558.6
247,2848.6,1372.7,6987.45,2992.85,1186.85,9850.85,7022.5,1766.7,283.65,1637.1,311.45,5667.5,1477.55,445.55,1274.7,4898.15,2686.0,1871.75,1751.85,742.4,4787.45,693.6,2547.65,1331.85,1038.15,1839.3,487.95,958.8,1760.2,3380.9,2746.9,11046.0,2267.4,412.15,265.0,320.55,1340.0,832.7,1661.35,3265.8,1871.6,992.05,842.75,150.06,4075.25,1698.5,3283.4,7410.3,11112.1,562.2
248,2969.3,1396.2,6982.5,2996.65,1170.4,9940.65,6955.0,1752.45,288.55,1633.35,311.3,5782.5,1418.25,449.15,1249.85,4869.25,2672.55,1838.8,1734.6,727.05,4909.3,688.4,2554.95,1312.15,1056.4,1802.1,491.55,957.3,1734.6,3408.35,2707.7,11256.45,2276.3,408.5,261.65,318.45,1343.9,822.45,1624.15,3185.8,1852.1,1022.7,840.2,148.97,4084.65,1684.95,3308.45,7252.45,11205.1,565.25
249,2947.25,1375.95,7022.7,2935.65,1159.55,9836.3,6889.75,1750.75,284.9,1612.6,310.75,5726.9,1551.75,452.05,1274.2,4894.65,2695.85,1766.05,1735.7,720.15,4989.55,686.05,2528.25,1292.25,1055.6,1757.25,488.8,963.65,1731.1,3622.3,2728.55,11076.45,2262.95,408.15,266.15,320.8,1332.05,820.2,1622.15,3138.9,1848.9,1002.55,834.05,148.56,3968.45,1608.65,3267.05,7128.35,11065.65,551.8
