Ticker,Company,close,date,high,low,month,open,volume,Sector,Daily_Returns,Std_Dev
ADANIENT,ADANI ENTERPRISES,2217.3,2023-11-01,2312.25,2207.0,2023-11-01,2299.0,1666579,MISCELLANEOUS,0.0,3.0
ADANIENT,ADANI ENTERPRISES,2215.3,2023-11-02,2297.95,2204.2,2023-11-01,2247.0,2340997,MISCELLANEOUS,-0.0009019979254047715,3.0
ADANIENT,ADANI ENTERPRISES,2229.85,2023-11-03,2279.0,2215.0,2023-11-01,2215.3,1853300,MISCELLANEOUS,0.006567959192885716,3.0
ADANIENT,ADANI ENTERPRISES,2246.0,2023-11-06,2260.0,2233.0,2023-11-01,2253.95,770061,MISCELLANEOUS,0.007242639639437672,3.0
ADANIENT,ADANI ENTERPRISES,2233.35,2023-11-07,2260.0,2226.65,2023-11-01,2257.0,641554,MISCELLANEOUS,-0.005632235084594876,3.0
ADANIENT,ADANI ENTERPRISES,2259.95,2023-11-08,2298.0,2235.0,2023-11-01,2245.3,1169180,MISCELLANEOUS,0.01191035887791878,3.0
ADANIENT,ADANI ENTERPRISES,2214.65,2023-11-09,2272.6,2210.1,2023-11-01,2269.0,1267890,MISCELLANEOUS,-0.02004469125423117,3.0
ADANIENT,ADANI ENTERPRISES,2205.1,2023-11-10,2237.0,2198.5,2023-11-01,2220.25,1072597,MISCELLANEOUS,-0.004312193800374859,3.0
ADANIENT,ADANI ENTERPRISES,2211.35,2023-11-12,2226.0,2205.1,2023-11-01,2219.7,148320,MISCELLANEOUS,0.0028343385787492634,3.0
ADANIENT,ADANI ENTERPRISES,2213.65,2023-11-13,2241.9,2195.55,2023-11-01,2215.5,853633,MISCELLANEOUS,0.0010400886336401664,3.0
ADANIENT,ADANI ENTERPRISES,2225.4,2023-11-15,2250.0,2220.5,2023-11-01,2240.0,696475,MISCELLANEOUS,0.005307975515551238,3.0
ADANIENT,ADANI ENTERPRISES,2205.9,2023-11-16,2232.8,2196.1,2023-11-01,2226.0,1307584,MISCELLANEOUS,-0.008762469668374224,3.0
ADANIENT,ADANI ENTERPRISES,2208.8,2023-11-17,2237.95,2201.0,2023-11-01,2205.9,916518,MISCELLANEOUS,0.0013146561494175124,3.0
ADANIENT,ADANI ENTERPRISES,2149.85,2023-11-20,2218.5,2142.0,2023-11-01,2211.0,1577213,MISCELLANEOUS,-0.026688699746468793,3.0
ADANIENT,ADANI ENTERPRISES,2196.65,2023-11-21,2232.55,2158.35,2023-11-01,2160.0,1839502,MISCELLANEOUS,0.02176896062515998,3.0
ADANIENT,ADANI ENTERPRISES,2172.65,2023-11-22,2225.0,2153.5,2023-11-01,2205.15,1247205,MISCELLANEOUS,-0.010925727812805862,3.0
ADANIENT,ADANI ENTERPRISES,2175.25,2023-11-23,2190.0,2160.6,2023-11-01,2190.0,729114,MISCELLANEOUS,0.0011966952799576135,3.0
ADANIENT,ADANI ENTERPRISES,2225.45,2023-11-24,2251.95,2160.9,2023-11-01,2179.0,1946259,MISCELLANEOUS,0.023077807148603524,3.0
ADANIENT,ADANI ENTERPRISES,2423.5,2023-11-28,2512.4,2275.0,2023-11-01,2301.0,11972275,MISCELLANEOUS,0.08899323732278874,3.0
ADANIENT,ADANI ENTERPRISES,2396.6,2023-11-29,2477.65,2390.0,2023-11-01,2468.7,4561574,MISCELLANEOUS,-0.011099649267588236,3.0
ADANIENT,ADANI ENTERPRISES,2358.55,2023-11-30,2409.0,2343.05,2023-11-01,2400.05,2983879,MISCELLANEOUS,-0.01587665859968277,3.0
ADANIENT,ADANI ENTERPRISES,2362.7,2023-12-01,2403.35,2354.1,2023-12-01,2370.0,1792983,MISCELLANEOUS,0.0017595556591972338,3.0
ADANIENT,ADANI ENTERPRISES,2531.2,2023-12-04,2595.0,2487.45,2023-12-01,2549.95,5681516,MISCELLANEOUS,0.07131671392897956,3.0
ADANIENT,ADANI ENTERPRISES,2959.35,2023-12-05,2999.9,2531.2,2023-12-01,2531.2,22879079,MISCELLANEOUS,0.1691490202275601,3.0
ADANIENT,ADANI ENTERPRISES,2883.95,2023-12-06,3154.55,2844.85,2023-12-01,3080.0,19355777,MISCELLANEOUS,-0.025478567928768174,3.0
ADANIENT,ADANI ENTERPRISES,2887.15,2023-12-07,2945.9,2853.05,2023-12-01,2900.0,6325887,MISCELLANEOUS,0.0011095892785936902,3.0
ADANIENT,ADANI ENTERPRISES,2822.15,2023-12-08,2927.0,2760.0,2023-12-01,2902.7,6959428,MISCELLANEOUS,-0.022513551426146892,3.0
ADANIENT,ADANI ENTERPRISES,2855.8,2023-12-11,2919.9,2811.05,2023-12-01,2837.05,5064123,MISCELLANEOUS,0.011923533476250409,3.0
ADANIENT,ADANI ENTERPRISES,2857.65,2023-12-12,2895.95,2840.55,2023-12-01,2869.1,2017772,MISCELLANEOUS,0.0006478044680999751,3.0
ADANIENT,ADANI ENTERPRISES,2875.05,2023-12-13,2899.1,2805.0,2023-12-01,2860.0,2805832,MISCELLANEOUS,0.006088919216839042,3.0
ADANIENT,ADANI ENTERPRISES,2894.05,2023-12-14,2932.95,2887.0,2023-12-01,2900.95,3224681,MISCELLANEOUS,0.006608580720335298,3.0
ADANIENT,ADANI ENTERPRISES,2991.8,2023-12-15,3000.0,2893.9,2023-12-01,2912.05,4921484,MISCELLANEOUS,0.033776195988320865,3.0
ADANIENT,ADANI ENTERPRISES,2980.6,2023-12-18,3027.75,2961.1,2023-12-01,2993.95,2315922,MISCELLANEOUS,-0.0037435657463735115,3.0
ADANIENT,ADANI ENTERPRISES,2941.25,2023-12-19,2994.35,2915.0,2023-12-01,2988.8,1741493,MISCELLANEOUS,-0.013202039857746732,3.0
ADANIENT,ADANI ENTERPRISES,2783.85,2023-12-20,2968.0,2766.2,2023-12-01,2946.0,3417739,MISCELLANEOUS,-0.053514662133446696,3.0
ADANIENT,ADANI ENTERPRISES,2799.75,2023-12-21,2821.95,2725.0,2023-12-01,2750.0,2678577,MISCELLANEOUS,0.005711514629020993,3.0
ADANIENT,ADANI ENTERPRISES,2808.35,2023-12-22,2847.6,2791.4,2023-12-01,2815.95,1513956,MISCELLANEOUS,0.0030717028306098434,3.0
ADANIENT,ADANI ENTERPRISES,2865.45,2023-12-26,2893.75,2800.1,2023-12-01,2817.0,2048484,MISCELLANEOUS,0.0203322235476347,3.0
ADANIENT,ADANI ENTERPRISES,2843.35,2023-12-27,2894.8,2833.6,2023-12-01,2880.7,1698325,MISCELLANEOUS,-0.007712575686192364,3.0
ADANIENT,ADANI ENTERPRISES,2809.9,2023-12-28,2867.35,2800.1,2023-12-01,2855.0,4102912,MISCELLANEOUS,-0.011764292120210252,3.0
ADANIENT,ADANI ENTERPRISES,2848.95,2023-12-29,2863.3,2802.85,2023-12-01,2823.9,1507086,MISCELLANEOUS,0.0138972917185664,3.0
ADANIENT,ADANI ENTERPRISES,2917.2,2024-01-01,2947.0,2842.05,2024-01-01,2852.3,2898619,MISCELLANEOUS,0.02395619438740589,3.0
ADANIENT,ADANI ENTERPRISES,2932.4,2024-01-02,2948.2,2841.0,2024-01-01,2922.0,2671368,MISCELLANEOUS,0.005210475798711187,3.0
ADANIENT,ADANI ENTERPRISES,3003.0,2024-01-03,3199.0,2955.6,2024-01-01,3047.0,19725411,MISCELLANEOUS,0.024075842313463342,3.0
ADANIENT,ADANI ENTERPRISES,2998.3,2024-01-04,3044.45,2990.0,2024-01-01,3039.4,2975620,MISCELLANEOUS,-0.0015651015651015046,3.0
ADANIENT,ADANI ENTERPRISES,3006.6,2024-01-05,3066.9,2981.1,2024-01-01,3009.95,3219949,MISCELLANEOUS,0.002768235333355477,3.0
ADANIENT,ADANI ENTERPRISES,2963.5,2024-01-08,3027.0,2952.95,2024-01-01,3020.0,1849061,MISCELLANEOUS,-0.014335129382026178,3.0
ADANIENT,ADANI ENTERPRISES,3014.6,2024-01-09,3068.8,2980.0,2024-01-01,2990.7,2885706,MISCELLANEOUS,0.017243124683651058,3.0
ADANIENT,ADANI ENTERPRISES,3098.2,2024-01-10,3112.0,3020.05,2024-01-01,3024.0,3590297,MISCELLANEOUS,0.027731705698931835,3.0
ADANIENT,ADANI ENTERPRISES,3080.9,2024-01-11,3129.0,3065.0,2024-01-01,3120.0,2008103,MISCELLANEOUS,-0.005583887418500977,3.0
ADANIENT,ADANI ENTERPRISES,3104.1,2024-01-12,3125.0,3068.2,2024-01-01,3096.35,1795933,MISCELLANEOUS,0.007530267129734759,3.0
ADANIENT,ADANI ENTERPRISES,3089.5,2024-01-15,3130.0,3067.45,2024-01-01,3127.0,1407007,MISCELLANEOUS,-0.0047034567185335234,3.0
ADANIENT,ADANI ENTERPRISES,3056.5,2024-01-16,3104.5,3035.0,2024-01-01,3095.0,2515564,MISCELLANEOUS,-0.010681340022657387,3.0
ADANIENT,ADANI ENTERPRISES,2971.05,2024-01-17,3045.0,2946.3,2024-01-01,3033.0,2897218,MISCELLANEOUS,-0.02795681334860128,3.0
ADANIENT,ADANI ENTERPRISES,2918.9,2024-01-18,2985.0,2885.1,2024-01-01,2975.55,2552342,MISCELLANEOUS,-0.01755271705289379,3.0
ADANIENT,ADANI ENTERPRISES,2915.65,2024-01-19,2949.45,2903.05,2024-01-01,2945.35,2014096,MISCELLANEOUS,-0.0011134331426222207,3.0
ADANIENT,ADANI ENTERPRISES,2987.9,2024-01-20,3015.85,2890.5,2024-01-01,2930.0,1878793,MISCELLANEOUS,0.024780066194502084,3.0
ADANIENT,ADANI ENTERPRISES,2896.55,2024-01-23,3014.95,2885.5,2024-01-01,3014.95,1827002,MISCELLANEOUS,-0.03057331235985137,3.0
ADANIENT,ADANI ENTERPRISES,2903.45,2024-01-24,2929.1,2871.25,2024-01-01,2901.0,5807940,MISCELLANEOUS,0.0023821442750857525,3.0
ADANIENT,ADANI ENTERPRISES,2893.6,2024-01-25,2926.35,2804.4,2024-01-01,2903.45,2601969,MISCELLANEOUS,-0.003392515800168734,3.0
ADANIENT,ADANI ENTERPRISES,3064.65,2024-01-29,3092.7,2923.05,2024-01-01,2929.0,4402976,MISCELLANEOUS,0.059113215371855196,3.0
ADANIENT,ADANI ENTERPRISES,3091.1,2024-01-30,3129.9,3020.9,2024-01-01,3081.0,3115506,MISCELLANEOUS,0.008630675607328673,3.0
ADANIENT,ADANI ENTERPRISES,3142.0,2024-01-31,3151.7,3072.4,2024-01-01,3092.75,2671051,MISCELLANEOUS,0.016466630002264594,3.0
ADANIENT,ADANI ENTERPRISES,3153.5,2024-02-01,3236.95,3083.05,2024-02-01,3156.9,4686595,MISCELLANEOUS,0.00366008911521324,3.0
ADANIENT,ADANI ENTERPRISES,3157.45,2024-02-02,3208.5,3140.0,2024-02-01,3184.95,2708695,MISCELLANEOUS,0.0012525765022989752,3.0
ADANIENT,ADANI ENTERPRISES,3173.45,2024-02-05,3229.4,3151.45,2024-02-01,3170.0,2191195,MISCELLANEOUS,0.0050673803227287845,3.0
