Company,ADANI PORTS & SEZ,APOLLO HOSPITALS,ASIAN PAINTS,AXIS BANK,BAJAJ AUTO,BAJAJ FINANCE,BAJAJ FINSERV,BHARAT ELECTRONICS,BPCL,CIPLA,COAL INDIA,DR. REDDYS LAB,EICHER MOTORS,GRASIM,HCL TECHNOLOGIES,HDFC BANK,HDFC LIFE INSURANCE,HERO MOTOCORP,HINDALCO,HINDUSTAN UNILEVER,ICICI BANK,INDUSIND BANK,INFOSYS,ITC,JSW STEEL,KOTAK MAHINDRA BANK,L&T,M&M,MARUTI SUZUKI,NESTLE,NTPC,ONGC,POWER GRID,RELIANCE IND.,SBI,SBI LIFE INSURANCE,SHRIRAM FINANCE,SUN PHARMA,TATA MOTORS,TATA STEEL,TCS,TECH MAHINDRA,TITAN,TRENT,ULTRATECH CEMENT,WIPRO
ADANI PORTS & SEZ,1.0,0.775013562498572,-0.2717666314081686,0.7037835373621991,0.8577244049577819,-0.29772877573317585,0.16646480930057284,0.8973841760198834,0.9164065499572616,0.870714235113011,0.9501133187448797,0.8017196898022926,0.7723223216942848,0.8457327080510998,0.5643376023125015,0.2871806270117227,0.1463888492176442,0.9019520005106253,0.7503091410831753,0.26653223704281676,0.8401406185321548,-0.36009362635726394,0.5737223280247157,0.3266854019436073,0.7431932209258281,0.025958140517652883,0.7950974935408965,0.8123888279297825,0.7841623401091771,0.25634128996764854,0.9095179029753844,0.9162057202862907,0.9402559294551224,0.8971791141168824,0.9226302108843076,0.6186258224203031,0.7617802295906673,0.8096431892332732,0.9117254761204417,0.8024355177101534,0.7870881379615517,0.6668070179012443,0.022746401522436153,0.7534047399424574,0.8118461088774156,0.7917599523219429
APOLLO HOSPITALS,0.775013562498572,1.0,0.013224707448382018,0.49526107156051485,0.8744421840224778,-0.14373398083285086,0.5365595401553049,0.670768088033515,0.8474647347753641,0.8690690227692021,0.7921973010425074,0.866760368608056,0.6068244258611212,0.7675799355929662,0.892210388344403,0.33977641212957516,0.48551906203739736,0.7843192366474507,0.6337720699852191,0.4932615695999516,0.8075221268394596,-0.49996013216556423,0.8449640607510404,0.5484507350372195,0.7283292126327234,0.24621295082793282,0.5897042701337657,0.7055616058992806,0.5729216384940421,0.18442966054954235,0.8702704165884775,0.7836084276409094,0.780268824696731,0.6457201369320016,0.6426896870040263,0.8269751850771835,0.891413762013459,0.9353411715765915,0.6884506088989909,0.43635837669216176,0.8517056062436399,0.8387528983583268,0.23890029863686296,0.8512590916931805,0.7693950671237941,0.8744807509060816
ASIAN PAINTS,-0.2717666314081686,0.013224707448382018,1.0,0.08678025900832864,-0.08119580863371217,0.6318514630651645,0.5704532821249823,-0.16376637730626445,-0.25043531893472876,-0.13345344175864438,-0.2483682543984614,-0.030137100002224325,-0.030265892988157957,-0.03687326033043877,0.1742835460034426,0.5784415359560803,0.587746181139097,-0.10741771321535402,0.010085985080983814,0.6670156065230861,-0.05766205187506144,0.1974542432341458,0.31561249586980333,0.6267168777977495,0.12574348517766265,0.6244005382172797,-0.08391907413597945,-0.08323944624998701,-0.4059749194095738,0.2217626260688869,-0.060138541065256665,-0.2835960600934581,-0.20446609947988797,-0.39547781156648015,-0.4199887184803154,0.3238879251524816,0.10304026025810196,-0.07876517680096458,-0.38740177933545034,-0.47439324306996183,0.06626609070414274,0.22936701297649945,0.345401317002346,0.06911063378006013,0.1827155106121233,-0.05500403697268227
AXIS BANK,0.7037835373621991,0.49526107156051485,0.08678025900832864,1.0,0.6742461937265319,0.1127346984702955,0.31087589520474085,0.8389377930960845,0.5699950438937732,0.6145547771432556,0.670533781758889,0.5673794986802996,0.8131613574416279,0.8204150324175375,0.3317403506890106,0.6585523469405549,0.24140711910770613,0.795978772616637,0.7946112087239662,0.5233676139776176,0.8081359829413045,-0.30180254514887045,0.4809539488612542,0.4620207012576733,0.7914810663908821,0.24793398356657306,0.5391545780064819,0.8143718245346737,0.5537509278209264,0.288517216681327,0.7047191620931326,0.5775915712222891,0.7763990490415881,0.581108642940386,0.7176367425404528,0.5276978321500961,0.6898506129012424,0.528246579822897,0.5039703825251847,0.6512579688885458,0.504017276966711,0.671587543913422,-0.19395902802076778,0.6900501287398271,0.8373764491955522,0.6149430959478464
BAJAJ AUTO,0.8577244049577819,0.8744421840224778,-0.08119580863371217,0.6742461937265319,1.0,-0.06480518978415688,0.5278067290958769,0.840411043408515,0.9033189689341878,0.9389078726835354,0.8820233283600067,0.8040596464616774,0.8049111125030833,0.8834203519750675,0.7010289382931653,0.4231379025709162,0.3802424801891289,0.9165412159966372,0.8315009110475564,0.4865145312985628,0.9233430118319593,-0.48018777361365333,0.6991296596683608,0.5305678647567006,0.8720477523618284,0.13608381268049854,0.6555821649084476,0.8917442216972904,0.8042487804082447,0.25894858901164947,0.944125544146417,0.8175283302769282,0.9105843718434498,0.7001759625329668,0.8094122399528507,0.7954313697815536,0.930111878640458,0.9388738440282262,0.7640997501254416,0.7040386417663776,0.7862516021696074,0.8084983492128563,0.07806286613828596,0.9333635429168586,0.8122245299876385,0.7842248546215718
BAJAJ FINANCE,-0.29772877573317585,-0.14373398083285086,0.6318514630651645,0.1127346984702955,-0.06480518978415688,1.0,0.5568365951192548,-0.13889062556643106,-0.3734833196242874,-0.20483872555946092,-0.35118577070291246,-0.3089852511232541,-0.033170285111697236,-0.07510706117181457,-0.08971004718722247,0.5096007885156905,0.2917574267312464,-0.13867158509884467,0.07310687283533802,0.33674549590575215,-0.06363433548012762,0.3163643846360183,-0.04733343694241731,0.34620038229975636,0.13618313133994814,0.527288523816905,-0.043858478298918806,-0.04966890043190253,-0.21942477132356578,0.23437120096349698,-0.15895485928192024,-0.4058035469624814,-0.2503486186030824,-0.36818224057911925,-0.36025225436852176,0.05639735444732459,0.040869420711762264,-0.19738420550726102,-0.4381553787774649,-0.1929901478513061,-0.2614764475376794,0.005160690054578174,0.23247525606971012,-0.022733980249356082,0.04667605989122794,-0.22459987276868487
BAJAJ FINSERV,0.16646480930057284,0.5365595401553049,0.5704532821249823,0.31087589520474085,0.5278067290958769,0.5568365951192548,1.0,0.2087715371528689,0.30294923365141735,0.39028257120552096,0.193288344355869,0.3495525818864513,0.3370642338043524,0.41838175941792416,0.607379264895095,0.5925622563526746,0.7058626970263494,0.33200563829827684,0.4377669696886232,0.6543186900958473,0.4936272616623522,-0.1913277215445292,0.6050591785735576,0.7022971243265723,0.6010664565008824,0.5404469518607335,0.24118452448842642,0.38736509362201205,0.17645616014182838,0.23767276692870576,0.45885698069407105,0.13720711586957252,0.27112773181048977,-0.02554843617468424,0.06287535212678708,0.6980139365684626,0.6277721945253656,0.5318342482022451,0.03154474544179641,0.008861153173074308,0.40625067084412875,0.5941843711335171,0.38584243383833366,0.5905215030976676,0.45207947935718656,0.3783448402832629
BHARAT ELECTRONICS,0.8973841760198834,0.670768088033515,-0.16376637730626445,0.8389377930960845,0.840411043408515,-0.13889062556643106,0.2087715371528689,1.0,0.8085044851036173,0.8235576644140464,0.904960181427557,0.7449540838190527,0.9196196644096271,0.9351752401442501,0.4379054066398304,0.4988641684031775,0.26006333774196555,0.8978895045576416,0.882873241273358,0.43556505655066835,0.8916750335458531,-0.4948151967863307,0.5514041135327316,0.4623700989467202,0.8441862105520603,0.08732626001702488,0.6528569833895135,0.945717334673937,0.7919975127538917,0.14166224232625751,0.8837834621075268,0.8396543021843381,0.9504058927534719,0.7403852515605739,0.9048499525438792,0.6322457424028728,0.8036831685380592,0.7460398195816434,0.7707494563467576,0.8075255448181177,0.6628579052706812,0.7472798489813076,-0.2512220378653933,0.82912890784104,0.868713597873564,0.6812598666801605
BPCL,0.9164065499572616,0.8474647347753641,-0.25043531893472876,0.5699950438937732,0.9033189689341878,-0.3734833196242874,0.30294923365141735,0.8085044851036173,1.0,0.9175149308864415,0.9553649711097731,0.8543031438095453,0.7489622994042089,0.8227222321786571,0.6581609939810052,0.19180912073193385,0.2510072570326015,0.8658759585286936,0.7055207030281474,0.30797653144326914,0.8368702192469155,-0.47477941337114354,0.646476252365596,0.3534517055755196,0.7400519957715497,-0.06171873417854996,0.6581696271416838,0.7997506639751958,0.8209318018961503,0.17695081475473196,0.9225524573134918,0.9191964627770346,0.9219400376559459,0.8082238277065524,0.8803719959737459,0.7262308213320819,0.8120999438975105,0.9065388311209639,0.8910463269451101,0.7182072030772082,0.8414152574778356,0.704624918507098,0.05722665437348912,0.8251100385080128,0.7293339780115199,0.7884779233745728
CIPLA,0.870714235113011,0.8690690227692021,-0.13345344175864438,0.6145547771432556,0.9389078726835354,-0.20483872555946092,0.39028257120552096,0.8235576644140464,0.9175149308864415,1.0,0.9066777233550262,0.8584435529887824,0.7204445671795897,0.8411225959730583,0.7187647210842392,0.28768044036344287,0.3443149027383006,0.9051367797023097,0.7172656750799884,0.4758392790326405,0.8560967900197267,-0.4516717491890849,0.735383480224961,0.46910707562514475,0.7597854092584182,0.06747503825340814,0.6416443478765249,0.8419753354462269,0.7496236013192746,0.26247256581291306,0.8954018501544133,0.8688181824689076,0.9022227053020103,0.752914292450283,0.799626983740939,0.7914920146299979,0.8880947339579752,0.920499407814665,0.8132970082669825,0.6487255039817198,0.8394960945431909,0.7864431131399537,0.08763999789887535,0.8779424688294645,0.802749162023696,0.8099627995667433
