Ticker,month,open_date,open_price,close_date,close_price,monthly_return
ADANIENT,Nov-2023,2023-11-01,2217.3,2023-11-30,2358.55,6.37
ADANIENT,Dec-2023,2023-12-01,2362.7,2023-12-29,2848.95,20.58
ADANIENT,Jan-2024,2024-01-01,2917.2,2024-01-31,3142.0,7.71
ADANIENT,Feb-2024,2024-02-01,3153.5,2024-02-29,3285.4,4.18
ADANIENT,Mar-2024,2024-03-01,3318.75,2024-03-28,3197.1,-3.67
ADANIENT,Apr-2024,2024-04-01,3252.1,2024-04-30,3054.7,-6.07
ADANIENT,May-2024,2024-05-02,3039.6,2024-05-31,3411.35,12.23
ADANIENT,Jun-2024,2024-06-03,3645.25,2024-06-28,3177.15,-12.84
ADANIENT,Jul-2024,2024-07-01,3183.8,2024-07-31,3169.4,-0.45
ADANIENT,Aug-2024,2024-08-01,3217.25,2024-08-30,3019.35,-6.15
ADANIENT,Sep-2024,2024-09-02,3042.15,2024-09-30,3135.85,3.08
ADANIENT,Oct-2024,2024-10-01,3186.1,2024-10-31,2947.25,-7.5
ADANIPORTS,Nov-2023,2023-11-01,769.1,2023-11-30,825.5,7.33
ADANIPORTS,Dec-2023,2023-12-01,827.8,2023-12-29,1024.35,23.74
ADANIPORTS,Jan-2024,2024-01-01,1047.85,2024-01-31,1207.65,15.25
ADANIPORTS,Feb-2024,2024-02-01,1218.85,2024-02-29,1320.5,8.34
ADANIPORTS,Mar-2024,2024-03-01,1322.1,2024-03-28,1341.85,1.49
ADANIPORTS,Apr-2024,2024-04-01,1375.9,2024-04-30,1324.9,-3.71
ADANIPORTS,May-2024,2024-05-02,1338.8,2024-05-31,1437.4,7.36
ADANIPORTS,Jun-2024,2024-06-03,1583.95,2024-06-28,1478.1,-6.68
ADANIPORTS,Jul-2024,2024-07-01,1474.5,2024-07-31,1569.9,6.47
ADANIPORTS,Aug-2024,2024-08-01,1590.15,2024-08-30,1481.9,-6.81
